Name,Common name,SMILE,Odor,target,Odor Class,ABCIndex,Acidic Group Count,Basic Group Count,Adjacency Matrix,Aromatic Atom Count,Aromatic Bond Count,Atom Count,Autocorrelation ATS,Autocorrelation ATSC,BalabanJ,Barysz Matrix ,BCUT,BertzCT,BondCount,CarbonTypes,Chi,ConstitutionalSum,ConstitutionalMean,DistanceMatrix,EccentricConnectivityIndex,AtomTypeEState,EtaCoreCount,EtaShapeIndex,EtaVEMCount,FragmentComplexity,Framework,HBondAcceptor,HBondDonor,InformationContent,VMcGowan,LabuteASA,MID,PathCount,APol,Bpol,RingCount,nRot,SLogP,JGT10,Diameter,TopoShapeIndex,TopoPSA,Vabc,VAdjMat,MWC01,MW,WPath,Zagreb1
neryl alcohol,nerol,CC(=CCCC(=CCO)C)C,"sweet, natural,neroli",3,Citrus,7.399237211,0,0,0.279327862,0,0,29,1716.898363,896.4160179,3.09962083,31.56446128,16.00203768,150.2557124,28,4,8.690234444,15.59124934,0.537629288,36.59051034,122,0,5.333333333,0.34375,7.25,10.01,0,1,1,1.124259237,149.03,69.43875775,20.4861167,10,29.504274,18.057726,0,4,2.6714,0.477839449,8,1,20.23,185.0336202,4.321928095,10,154.1357652,194,42
alpha-sinensal,alpha-sinensal,CC(=CCC=C(C)C=C)CCC=C(C)C=O,"citrus, orange, mandarin",3,Citrus,10.93477112,0,0,0.230769948,0,0,38,2442.283224,1187.74755,3.338288969,62.81905302,16.01004155,316.3266529,37,3,12.38890506,21.67490495,0.570392235,75.56610956,271,0,7.833333333,0.29787234,13.25,15.01,0,1,0,1.123957657,206.58,99.2515506,30.3020571,15,40.521446,22.938554,0,7,4.3805,0.468494104,12,1,17.07,263.6041695,4.906890596,15,218.1670653,583,64
"	
1-Aminopropan-2-ol",Isopropanolamine,CC(CN)O,"fishy, pungent",4,Fishy,3.047206724,0,1,0.426197263,0,0,14,894.100989,491.1251089,2.539538861,6.89012958,16.00204006,20.85475297,13,2,4.28445705,6.910987788,0.493641985,7.459294271,19,0,2.233333333,0.552238806,2.5,4.02,0,2,2,1.429911171,68.98,31.60325971,8.696801932,4,12.913137,8.458863,0,1,-0.6741,0.486111111,3,0.5,46.25,80.23140217,3,4,75.06841391,18,16
"	
trimethylamine","	
trimethylamine",CN(C)C,"fishy,oily,ranicd",4,Fishy,2.449489743,0,1,0.482962913,0,0,13,638.132988,369.3461769,2.323790008,4,14.02504138,8,12,0,3.577350269,6.196188683,0.476629899,4.645751311,9,0,1.9,0.789473684,2.25,3.01,0,1,0,1.140115679,63.11,27.22896893,6.732050808,3,12.111137,10.738863,0,0,0.1778,0.5,2,1,3.24,71.44117522,2.584962501,3,59.07349929,9,12
2-methyl piperidine,pipicoline,CC1CCCCN1,"amine, fishy, seafood",4,Fishy,5.059137268,0,1,0.370595007,0,0,20,1074.989607,583.1857406,2.12291795,11.54425245,14.01703431,46.14170945,20,2,5.112884175,10.27984429,0.513992215,12.17044963,45,0,3.4,0.147058824,4,7.01,0.3,1,1,1.141153528,94.52,45.10799263,13.67682532,7,19.788309,13.611691,1,0,1.1484,0.34702381,4,0.333333333,12.03,110.9726719,3.807354922,7,99.10479942,42,30
pyridine,pyridine,C1=CC=NC=C1,"sickening, sour,putrid",4,Fishy,4.242640687,0,0,0.40824829,6,6,11,922.596974,353.7673009,2,5.676981474,14.02945877,75.86113959,11,0,4.242640687,7.112533076,0.646593916,9,36,0,2.9,0,9.5,6.01,0.545454545,1,0,1.348587896,67.53,36.6510511,11.8125,6,12.783965,6.156035,1,0,1.0816,0,3,0,12.89,74.86730987,3.584962501,6,79.04219916,27,24
Thiophene-2-thiol,thiophenethiol,C1=CSC(=C1)S,"roast coffee, fishy",4,Fishy,4.352030487,0,0,0.399872143,5,5,10,2636.80794,1286.656898,2.18410557,4.21987221,32.06343032,109.1085055,10,0,4.405777394,7.457765113,0.745776511,8.82187003,29,0,3.666666667,0.227272727,7.5,6.02,0.5,2,1,1.521928095,80.46,46.22683305,11.57549817,6,15.147172,8.932828,1,0,2.0368,0.341269841,3,0.5,0,86.22907195,3.584962501,6,115.9754421,26,26
"4,5 dimethyl thiazole","4,5 dimethyl thiazole",CC1=CC2=C(C=C1C)N=C(N2)C3=CSC=N3,"fishy,amine,savory",4,Fishy,12.82538132,0,0,0.23031107,14,15,27,3358.777903,1411.409436,1.624719499,37.57140032,32.06224543,598.6349887,29,2,11.12095586,18.44099837,0.68299994,54.96717076,225,0,8.033333333,0.124481328,22.5,84.04,0.518518519,3,1,1.576065824,167.85,97.18886574,32.95276077,18,33.574723,16.345277,3,1,3.30324,0.447261982,8,0.6,41.57,182.0194574,5.169925001,18,229.0673684,426,88
Hexylamine,hexylamine,CCCCCCN,"ammoniacal, musty,fishy",4,Fishy,4.242640687,0,1,0.359095678,0,0,22,1077.021735,611.5661328,2.447472888,16.37139944,14.01306771,23.3609904,21,2,5.535533906,10.82167209,0.491894186,16.6253823,54,0,3.4,0.264705882,3.25,6.01,0,1,1,1.090652803,105.38,45.9038523,12.83378878,6,21.121895,14.478105,0,4,1.5254,0.213472222,6,1,26.02,123.3291309,3.584962501,6,101.1204495,56,22
dimethyl sulfide,dimethyl sulfide,CSC,"sulfury, onion, sweet corn",4,Fishy,1.414213562,0,0,0.569035594,0,0,9,1322.468226,893.564126,1.632993162,1.221500234,32.06120703,2.754887502,8,0,2.707106781,4.812538164,0.534726463,2.732050808,6,0,1.833333333,0.545454545,1,2.01,0,1,0,1.224394445,55.39,25.22730317,4.914213562,2,10.240758,8.479242,0,0,0.9792,0.25,2,1,0,61.65745387,2,2,62.01902119,4,6
3-(methylthio)butanal,3-(methylthio)butanal,CC(CC=O)SC,"green,musk,buchu",4,Fishy,4.352030487,0,0,0.351198129,0,0,17,2015.292846,1193.538632,2.831819966,10.81697389,32.06110264,54.04184398,16,1,5.698670613,9.610992876,0.565352522,14.86357869,45,0,3.666666667,0.363636364,4.75,6.02,0,2,0,1.450467463,99.23,48.48365161,12.66537523,6,18.71993,13.36007,0,3,1.3269,0.437777778,5,0.666666667,17.07,119.6991775,3.584962501,6,118.0452359,50,24
octen-1-ol,octen-1-ol,CCCCCCC=CO,"green, melon, watery",4,Fishy,5.656854249,0,0,0.313732835,0,0,25,1426.337993,768.774544,2.595082707,25.59316598,16.0020442,66.96788691,24,1,6.949747468,13.04942153,0.521976861,27.74218932,96,0,4.333333333,0.192307692,5.25,8.01,0,1,1,1.12385619,125.15,57.39847655,16.82976754,8,24.830688,16.051312,0,5,3.0285,0.174198696,8,1,20.23,153.0781087,4,8,128.1201151,120,30
"3,6-Nonadien-1-ol","3,6-nonadienol",CCC=CCC=CCCO,"green,melon,fatty",4,Fishy,6.363961031,0,0,0.296568711,0,0,26,1570.602114,814.3201495,2.647604849,29.33250276,16.00203736,103.2958938,25,2,7.656854249,14.04942153,0.540362367,34.34287175,122,0,4.833333333,0.172413793,6.75,9.01,0,1,1,1.141619525,134.94,63.07381563,18.82909733,9,26.500688,16.051312,0,5,2.2813,0.158601348,9,0.8,20.23,167.737635,4.169925001,9,140.1201151,165,34
